Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 93.32   1193.56  1193.56   395598     3.02     3.02  OneLayerPerceptron::train(float const*, float const*)
  6.41   1275.51    81.95    60000     1.37     1.37  OneLayerPerceptron::classify(float const*, float*)
  0.14   1277.27     1.76 141235380     0.00     0.00  OneLayerPerceptron::sigmoid(float)
  0.05   1277.87     0.60                             expf
  0.04   1278.36     0.49 54880000     0.00     0.00  normalizeU8(unsigned char)
  0.01   1278.54     0.18        3    60.00    60.00  __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, float*>::__type std::__fill_n_a<float*, unsigned int, float>(float*, unsigned int, float const&)
  0.01   1278.69     0.15        2    75.00   320.00  float* std::transform<unsigned char*, float*, float (*)(unsigned char)>(unsigned char*, unsigned char*, float*, float (*)(unsigned char))
  0.01   1278.78     0.09    10000     0.01     0.01  copyU8T2I(unsigned char)
  0.00   1278.82     0.04                             _fu27___ZSt4cout
  0.00   1278.86     0.04                             exp
  0.00   1278.89     0.03                             _fu0___ZSt4cerr
  0.00   1278.92     0.03                             logl
  0.00   1278.94     0.02   911198     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00   1278.96     0.02   911198     0.00     0.00  std::vector<float, std::allocator<float> >::data()
  0.00   1278.97     0.01   911198     0.00     0.00  float* std::__addressof<float>(float&)
  0.00   1278.98     0.01      765     0.01     0.01  std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>::_M_gen_rand()
  0.00   1278.98     0.00   911198     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const
  0.00   1278.98     0.00   911198     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00   1278.98     0.00   911198     0.00     0.00  std::vector<float, std::allocator<float> >::front()
  0.00   1278.98     0.00   715530     0.00     0.00  std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>::min()
  0.00   1278.98     0.00   477020     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00   1278.98     0.00   477020     0.00     0.00  std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>::operator()()
  0.00   1278.98     0.00   477020     0.00     0.00  std::log(long double)
  0.00   1278.98     0.00   238510     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00   1278.98     0.00   238510     0.00     0.00  std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>::max()
  0.00   1278.98     0.00   238510     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u> >(std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>&)
  0.00   1278.98     0.00   238510     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u> >(std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>&, std::uniform_real_distribution<double>::param_type const&)
  0.00   1278.98     0.00   238510     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>, double>::_Adaptor(std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>&)
  0.00   1278.98     0.00   238510     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>, double>::operator()()
  0.00   1278.98     0.00   238510     0.00     0.00  double std::generate_canonical<double, 53u, std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u> >(std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>&)
  0.00   1278.98     0.00   238510     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00   1278.98     0.00   238510     0.00     0.00  unsigned int const& std::min<unsigned int>(unsigned int const&, unsigned int const&)
  0.00   1278.98     0.00    60008     0.00     0.00  IDXFile::getTotalSize() const
  0.00   1278.98     0.00    60006     0.00     0.00  IDXFile::getDataPointer() const
  0.00   1278.98     0.00    60000     0.00     0.00  findHighestIndex(float const*, int)
  0.00   1278.98     0.00    60000     0.00     0.00  TrainingEnvironment::getTrainingClassifications()
  0.00   1278.98     0.00    60000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00   1278.98     0.00    60000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00   1278.98     0.00    60000     0.00     0.00  std::vector<int, std::allocator<int> >::data() const
  0.00   1278.98     0.00    60000     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00   1278.98     0.00    60000     0.00     0.00  std::vector<int, std::allocator<int> >::front() const
  0.00   1278.98     0.00    60000     0.00     0.00  int const* std::__addressof<int const>(int const&)
  0.00   1278.98     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned int, 0u, 1u, 0u, true, false>::__calc(unsigned int)
  0.00   1278.98     0.00      624     0.00     0.00  unsigned int std::__detail::__mod<unsigned int, 0u, 1u, 0u>(unsigned int)
  0.00   1278.98     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned int, 624u, 1u, 0u, true, true>::__calc(unsigned int)
  0.00   1278.98     0.00      623     0.00     0.00  unsigned int std::__detail::__mod<unsigned int, 624u, 1u, 0u>(unsigned int)
  0.00   1278.98     0.00       12     0.00     0.00  read32_be(std::istream&)
  0.00   1278.98     0.00        8     0.00     0.00  IDXFile::deleteData()
  0.00   1278.98     0.00        8     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00   1278.98     0.00        6     0.00     0.00  calcCorrect(float const*, std::vector<int, std::allocator<int> > const*, unsigned int)
  0.00   1278.98     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00   1278.98     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00   1278.98     0.00        4     0.00     0.00  IDXFile::readFile(std::string const&)
  0.00   1278.98     0.00        4     0.00     0.00  IDXFile::IDXFile(std::string const&)
  0.00   1278.98     0.00        4     0.00     0.00  IDXFile::~IDXFile()
  0.00   1278.98     0.00        4     0.00     0.00  IDXFile::getDimensions() const
  0.00   1278.98     0.00        4     0.00     0.00  IDXFile::getDimensionNumber() const
  0.00   1278.98     0.00        4     0.00     0.00  IDXFile::hasError() const
  0.00   1278.98     0.00        4     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  0.00   1278.98     0.00        4     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00   1278.98     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned int, void const*)
  0.00   1278.98     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00   1278.98     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00   1278.98     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00   1278.98     0.00        3     0.00     0.00  bool __gnu_cxx::operator!=<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00   1278.98     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00   1278.98     0.00        3     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00   1278.98     0.00        3     0.00     0.00  std::allocator<float>::allocator()
  0.00   1278.98     0.00        3     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00   1278.98     0.00        3     0.00     0.00  std::allocator<float>::~allocator()
  0.00   1278.98     0.00        3     0.00     0.00  std::_Iter_base<float*, false>::_S_base(float*)
  0.00   1278.98     0.00        3     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned int)
  0.00   1278.98     0.00        3     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00   1278.98     0.00        3     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned int)
  0.00   1278.98     0.00        3     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00   1278.98     0.00        3     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned int, std::allocator<float> const&)
  0.00   1278.98     0.00        3     0.00    60.00  void std::__uninitialized_default_n_1<true>::__uninit_default_n<float*, unsigned int>(float*, unsigned int)
  0.00   1278.98     0.00        3     0.00    60.00  std::vector<float, std::allocator<float> >::_M_default_initialize(unsigned int)
  0.00   1278.98     0.00        3     0.00    60.00  std::vector<float, std::allocator<float> >::vector(unsigned int, std::allocator<float> const&)
  0.00   1278.98     0.00        3     0.00     0.00  std::_Niter_base<float*>::iterator_type std::__niter_base<float*>(float*)
  0.00   1278.98     0.00        3     0.00    60.00  void std::__uninitialized_default_n<float*, unsigned int>(float*, unsigned int)
  0.00   1278.98     0.00        3     0.00    60.00  void std::__uninitialized_default_n_a<float*, unsigned int, float>(float*, unsigned int, std::allocator<float>&)
  0.00   1278.98     0.00        3     0.00    60.00  float* std::fill_n<float*, unsigned int, float>(float*, unsigned int, float const&)
